date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:42	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:18:40%20GMT	http://atechnologies.co.in/robots.txt		(from )
13:48:43	68809/68809	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:19%20GMT	http://atechnologies.co.in/	D:/Student%20Trainning/atechnologies.co.in/index.html	(from )
13:48:43	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-5b05adaf-f7e31a4eca50ffc7;gz%22	http://atechnologies.co.in/vendor/bootstrap/css/bootstrap.min.css	D:/Student%20Trainning/atechnologies.co.in/vendor/bootstrap/css/bootstrap.min.css	(from http://atechnologies.co.in/)
13:48:43	70808/70808	---M-Z	200	added ('OK')	text/css	etag:%2211498-5b05ad3b-5ccfefdd5f61579c;gz%22	http://atechnologies.co.in/css/animate.css	D:/Student%20Trainning/atechnologies.co.in/css/animate.css	(from http://atechnologies.co.in/)
13:48:44	16435/16435	---M-Z	200	added ('OK')	text/css	etag:%224033-5b05adae-7060ce5b10be1647;gz%22	http://atechnologies.co.in/vendor/themify/themify.css	D:/Student%20Trainning/atechnologies.co.in/vendor/themify/themify.css	(from http://atechnologies.co.in/)
13:48:44	42907/42907	---M-Z	200	added ('OK')	text/css	etag:%22a79b-5b05adaa-d96fd71e52745bc1;gz%22	http://atechnologies.co.in/vendor/scrollbar/scrollbar.min.css	D:/Student%20Trainning/atechnologies.co.in/vendor/scrollbar/scrollbar.min.css	(from http://atechnologies.co.in/)
13:48:45	17216/17216	---M-Z	200	added ('OK')	text/css	etag:%224340-5b05adac-c87a2842ff6cf69d;gz%22	http://atechnologies.co.in/vendor/swiper/swiper.min.css	D:/Student%20Trainning/atechnologies.co.in/vendor/swiper/swiper.min.css	(from http://atechnologies.co.in/)
13:48:45	79764/79764	---M-Z	200	added ('OK')	text/css	etag:%2213794-5b05adb6-b23269809682aa25;gz%22	http://atechnologies.co.in/vendor/cubeportfolio/css/cubeportfolio.min.css	D:/Student%20Trainning/atechnologies.co.in/vendor/cubeportfolio/css/cubeportfolio.min.css	(from http://atechnologies.co.in/)
13:48:45	46781/46781	---M-Z	200	added ('OK')	text/css	etag:%22b6bd-5b05ad3b-906c73f1d78866c9;gz%22	http://atechnologies.co.in/css/style.css	D:/Student%20Trainning/atechnologies.co.in/css/style.css	(from http://atechnologies.co.in/)
13:48:45	127525/127525	---M-Z	200	added ('OK')	text/css	etag:%221f225-5b05ad3e-747eb8d0f7da2216;gz%22	http://atechnologies.co.in/css/global/global.css	D:/Student%20Trainning/atechnologies.co.in/css/global/global.css	(from http://atechnologies.co.in/)
13:48:46	3083/3083	---M--	200	added ('OK')	image/png	etag:%22c0b-5b05ad40-a60ab3e078f114e9;;;%22	http://atechnologies.co.in/img/atechlogo.png	D:/Student%20Trainning/atechnologies.co.in/img/atechlogo.png	(from http://atechnologies.co.in/)
13:48:47	681/681	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Sep%202019%2008:18:45%20GMT	http://atechnologies.co.in/img/apple-touch-icon.png	D:/Student%20Trainning/atechnologies.co.in/img/apple-touch-icon.png	(from http://atechnologies.co.in/)
13:48:48	68809/68809	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:46%20GMT	http://atechnologies.co.in/index	D:/Student%20Trainning/atechnologies.co.in/index-2.html	(from http://atechnologies.co.in/)
13:48:48	3083/3083	---M--	200	added ('OK')	image/png	etag:%22c0b-5b05ad40-4cb7aeca9fc9deb4;;;%22	http://atechnologies.co.in/img/atechlogo1.png	D:/Student%20Trainning/atechnologies.co.in/img/atechlogo1.png	(from http://atechnologies.co.in/)
13:48:49	21397/21397	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2008:18:47%20GMT	http://atechnologies.co.in/php-course	D:/Student%20Trainning/atechnologies.co.in/php-course.html	(from http://atechnologies.co.in/)
